src,dst,cosine_sim
25213,28367,0.9721841
25217,24656,1.0
25219,17415,1.0
25219,20280,1.0
25219,24935,1.0
25219,26924,0.95913154
25219,32297,1.0
25219,32659,1.0
25307,25894,0.99999994
25366,21080,0.99999994
25371,24635,0.9723294
25569,25849,1.0
25586,582,0.9917083
25586,10467,1.0
25586,15196,0.9917083
25586,16824,0.9917083
25586,19884,0.9917083
25628,32725,0.9071059
25636,28560,0.93323565
25786,1855,0.9051625
25786,33070,1.0
25786,34305,1.0
25849,25569,1.0
25852,28633,0.97872794
25894,25307,0.99999994
25912,19871,1.0
25912,32470,0.98929507
25912,35949,1.0
25954,13955,0.96974105
25954,14018,0.96974105
25954,20104,0.96974105
25954,26773,0.96974105
25954,27997,0.96974105
25957,25129,1.0
26069,25120,0.9090128
26162,20372,1.0
26166,32520,1.0
26166,32634,1.0
26166,32883,1.0
26166,32948,1.0
26201,26554,0.9300087
26232,38189,1.0
26234,23082,0.97052747
26257,13705,0.91537124
26257,20400,0.91537124
26257,20445,0.91537124
26257,26308,0.91537124
26274,8116,1.0
26274,20437,1.0
26274,32749,0.90930355
26308,13705,1.0
26308,20400,1.0
26308,20445,1.0
26308,20447,0.91097957
26308,26257,0.91537124
26380,38449,0.99999994
26554,26201,0.9300087
26584,20025,0.99999994
26623,9050,0.9409657
26623,10449,0.99999994
26623,10497,0.99999994
26623,13692,0.99999994
26623,16985,0.9409657
26623,19889,0.9409657
26623,20388,0.99999994
26623,33672,0.99999994
26623,44457,0.99999994
26773,13955,1.0
26773,14018,1.0
26773,20104,1.0
26773,25954,0.96974105
26773,27997,1.0
26813,13698,1.0
26813,17613,1.0
26915,27053,1.0
26916,27087,1.0
26918,26929,1.0
26924,17415,0.95913154
26924,20280,0.95913154
26924,24935,0.95913154
26924,25219,0.95913154
26924,32297,0.95913154
26924,32659,0.95913154
26929,26918,1.0
27010,13961,0.948348
27010,25146,0.93154335
27010,43296,0.9009789
27053,26915,1.0
27087,26916,1.0
27240,10169,0.99999994
27240,20358,0.90323704
27240,29231,0.99999994
27240,32906,0.99999994
27240,39672,0.99999994
27354,30999,0.9053765
27416,123,1.0
27438,27439,0.9999999
27438,27444,0.9999999
27438,27457,0.9999999
27438,27463,0.9999999
27439,27438,0.9999999
27439,27444,0.9999999
27439,27457,0.9999999
27439,27463,0.9999999
27441,27450,0.99999994
27441,27561,0.99999994
27442,27456,0.9106095
27442,27458,0.9106095
27442,27581,0.9106095
27444,27438,0.9999999
27444,27439,0.9999999
27444,27457,0.9999999
27444,27463,0.9999999
27446,27460,1.0
27446,27596,0.9199033
27447,27451,0.99999994
27447,27586,0.99999994
27450,27441,0.99999994
